What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Other Europe,,20-24,40944,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,New Jersey,25-29,41070,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,,Recommender,,,,,,,,Software,,,,Don't know,Enterprise,Java,JavaScript,CSS,,Python,,,,,C++,C,,,,,Linux,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,Kindle,,,,,,,Xbox,,,,iPad,,,">$3,000",Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
United Kingdom,,25-29,11,Software Products,Mature Small Business (25-100),Embedded Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"$10,001 - $25,000",Other,,,,PHP,,Objective-C,,SQL,,C++,C,Perl,,,,Mac OS X,Its a paycheck,"$40,000 - $60,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,,,,,Regular Mobile Phone,,,,,,,PS3,Xbox,Wii,,,,,,">$3,000",Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,,200,Programmers Stack Exchange,
Other Europe,,30-34,41070,Gaming,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,Java,,,,,,,SQL,,,,,HTML5,,,Windows 7,Its a paycheck,Rather not say,Yes,No thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,20-24,<2,Gaming,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,Love my job,"$40,000 - $60,000",No,No thank you,Didn't know about Careers before you asked,,,,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,none,Don't have an account,Stack Overflow,
Italy,,20-24,41070,Finance / Banking,Mid Sized (100-999),Desktop Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,,,,,,,Software,,,,Don't know,Web Platform,Java,,,PHP,,,,,,,,,,,,Linux,I'm not happy in my job,Rather not say,No,No thank you,Didn't know about Careers before you asked,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,no one,Don't have an account,Stack Overflow,
Other Europe,,20-24,40944,Software Products,Mid Sized (100-999),Server Programmer,,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Other (please specify),Prefer LinkedIn - too lazy to maintain more profiles.,,,,Windows Phone,,,,,,,,,,Xbox,,,,,,,$251-$500,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Other Europe,,30-34,41070,Consulting,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Windows XP,I'm not happy in my job,"$40,000 - $60,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,,,,,,,,,,,,,,,,,,,,$100-$250,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,1,Stack Overflow,
India,,20-24,<2,Web Services,"Fortune 1000 (1,000+)",Systems Analyst,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,,,,,,SQL,,C++,C,,,,,Windows XP,I'm not happy in my job,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,Other media streaming device,,,,,,,,,,$100-$250,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Disagree,,1,Stack Overflow,
United Kingdom,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,Software,,,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,,Linux,I enjoy going to work,,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Disagree,Disagree,,,Stack Overflow,
United States of America,New York,20-24,40944,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,,,,,,,,Windows XP,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,,Nook,,,,,,,Wii,,,,,,"$501-$1,000",Neutral,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,200,Other Stack Exchange (please specify),RPG
United Kingdom,,< 20,<2,Software Products,Start Up (1-25),Student,,,,,,No Involvement,,,,,,,,,SaaS,,,CSS,,,,,,C#,,,,,,,Windows 7,I enjoy going to work,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,iPhone,,,,,,,,,,,,,Xbox,Wii,,,,,,$100-$250,Agree,Neutral,Agree,Agree,Disagree,Strongly Disagree,,100,Stack Overflow,
Other Europe,,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,"<$20,000",Yes,Yes,,,iPhone,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
France,,20-24,40944,Software Products,Start Up (1-25),Student,,,Approver,,,,,,,Software,,,,"<$10,000",Mobile,Java,,,,,,,,,,,,,,,Windows 7,I wish I had a job!,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,,Android,,Windows Phone,,,,,,,,,,,,,,,,,<$100,,,,,,,,,,
United Kingdom,,25-29,41070,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Web Platform,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,VB.NET,Windows 7,I enjoy going to work,"$40,000 - $60,000",Yes,Yes,,,,Android,,,,,Kindle,,,,,Netbook,,,,,,,,,"$1,001-$2,000",Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
United Kingdom,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,No Involvement,,,,Software,,,,Don't know,Mobile,,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,,,,,ASP.NET,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Other (please specify),Don't wish to sign up at this moment in time.,iPhone,,,,,,,,AppleTV,Boxee,Other media streaming device,,PS3,Xbox,Wii,,,iPad,,,"$1,001-$2,000",Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,Don't have an account,Stack Overflow,
United States of America,Indiana,40-50,11,Web Services,Mid Sized (100-999),IT Staff / System Administrator,,,,,,No Involvement,,,,,,,,,Web Platform,,,,PHP,,,,,,,,,,,,Mac OS X,Love my job,"$40,000 - $60,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,Netbook,,Xbox,Wii,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Stack Overflow,
France,,35-39,11,Software Products,Mid Sized (100-999),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,20-24,40944,Web Services,Student,Student,,,,Purchaser,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",None / Unemployed,,,CSS,PHP,Python,,,SQL,C#,C++,,,HTML5,,,Windows 7,I wish I had a job!,Student / Unemployed,Yes,Yes,,,,Android,,Windows Phone,,,,,,,,,,Xbox,,,,,,,$100-$250,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
Other Europe,,20-24,40944,Gaming,Mature Small Business (25-100),Desktop Application Developer,,Recommender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,30-34,41070,Finance / Banking,Mid Sized (100-999),Systems Analyst,Influencer,,,,,,,,,Software,,,,Don't know,Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,I'm not happy in my job,Rather not say,Yes,Yes,,,,,Blackberry,,,Regular Mobile Phone,,,,,,,,Xbox,,,,iPad,,,"$2,001-$3,000",Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,,1000,Stack Overflow,
United Kingdom,,25-29,11,Advertising,Mature Small Business (25-100),IT Staff / System Administrator,Influencer,Recommender,Approver,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Windows 7,Its a paycheck,"$60,000 - $80,000",Yes,No thank you,Didn't know about Careers before you asked,,,Android,,,,,Kindle,,,,,Netbook,,Xbox,,,,,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,Don't have an account,Stack Overflow,
United Kingdom,,25-29,41070,Web Services,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,,,,Don't know,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,C++,,Perl,HTML5,,,Mac OS X,I enjoy going to work,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,,,,,,,,,Boxee,,,,,,,,,,,">$3,000",Agree,Agree,Agree,Agree,Strongly Agree,Disagree,,Don't have an account,Stack Overflow,
United Kingdom,,25-29,41070,Finance / Banking,Mature Small Business (25-100),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Other,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows XP,I'm not happy in my job,"$80,000 - $100,000",Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,,,,Wii,,,,,,"$501-$1,000",Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,,10000,Stack Overflow,
Australia,,< 20,40944,Education,Student,Student,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,,,mIRC Scripting Language,Windows 7,I wish I had a job!,Student / Unemployed,No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,Xbox,Wii,,,,,,"$501-$1,000",Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,No third party advertisements; only Careers 2.0.,100,Stack Overflow,
Netherlands,,20-24,40944,Other,Mature Small Business (25-100),Web Application Developer,Influencer,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Web Platform,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,Netbook,,,Wii,Other gaming system,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,None,1,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Mature Small Business (25-100),IT Staff / System Administrator,Influencer,,,,,,,Hardware,,,,,Other,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East,,25-29,41070,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,,PHP,,,,SQL,,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,Netbook,,,,,,,,PC,$251-$500,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,,100,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Start Up (1-25),Web Application Developer,Influencer,,,,,No Involvement,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Enterprise,Java,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,Blackberry,Windows Phone,,,Kindle,,,,,,,,Wii,,,,,,"$501-$1,000",Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
North America (Other),,20-24,40944,Other,"Fortune 1000 (1,000+)",Other,,,,Purchaser,,,,,,,,,Other,">$150,000",Other,,,CSS,PHP,,,Ruby,,C#,C++,,,,,,Windows 7,I enjoy going to work,Rather not say,No,I'm not a programmer or IT person,,,iPhone,,,,,,,,,,,,,,,,,,,,<$100,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,,1000,Stack Overflow,
Germany,,30-34,41070,Software Products,"Fortune 1000 (1,000+)",Server Programmer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Enterprise,Java,,,,Python,,Ruby,SQL,,C++,C,,,,,Linux,I enjoy going to work,"$60,000 - $80,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,Netbook,,Xbox,,,,,Other tablet,,"$1,001-$2,000",Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,,1,Server Fault,
Germany,,25-29,41070,Software Products,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,Purchaser,Check Writer,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Linux,I enjoy going to work,Rather not say,Yes,Yes,,,,Android,,,,Regular Mobile Phone,,,,,,Netbook,,,,,,,,,"$501-$1,000",Disagree,Neutral,Neutral,Agree,Agree,Agree,the one for this survey here.,500,Stack Overflow,
Germany,,25-29,41070,Web Services,Mid Sized (100-999),Web Application Developer,Influencer,,,,,,,Hardware,,Software,,,,"$41,000 - $75,000",Web Platform,Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,Wii,,,iPad,,,"$1,001-$2,000",Neutral,Agree,Neutral,Agree,Agree,Neutral,,500,Stack Overflow,
India,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,,,,,,,,,,,,,,Linux,I enjoy going to work,Rather not say,No,No thank you,Couldn't get an invite,,,,,,,,,,,,,,,,,,,,,,<$100,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
United Kingdom,,40-50,11,Web Services,Mid Sized (100-999),Web Application Developer,,Recommender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,25-29,<2,Education,Student,Student,,,,,,No Involvement,,,,,,,,,Other,Java,,,,,,,SQL,,C++,,,,,,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,30-34,40944,Manufacturing,"Fortune 1000 (1,000+)",Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Other,,,,,,,,,,,C,,,,ASCET,Windows XP,Its a paycheck,"$60,000 - $80,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,Regular Mobile Phone,,,,,,,PS3,,,,,,,,"$501-$1,000",Neutral,Agree,Agree,Agree,Disagree,Neutral,none,Don't have an account,Programmers Stack Exchange,
India,,20-24,<2,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,,Mac OS X,Love my job,,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,,,Stack Overflow,
Canada,,25-29,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,Approver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,30-34,11,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",Web Platform,,,,,,,,SQL,C#,C++,,,,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Don't have anything cool to put on a profile,,,,,,,,,,,,,,,,,,,,,,$100-$250,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Intel,1,Stack Overflow,
India,,25-29,40944,Software Products,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,,,,,,,,,Windows XP,I'm not happy in my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,,500,Stack Overflow,
United States of America,Florida,30-34,11,Software Products,Start Up (1-25),Manager of Developers or Team Leader,Influencer,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"<$10,000",SaaS,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Mac OS X,I enjoy going to work,"$120,000 - $140,000",Yes,Yes,,,iPhone,,,,,,,,,,,,,,,,,iPad,,,">$3,000",Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,,1,Stack Overflow,
Middle East,,30-34,40944,Web Services,Mature Small Business (25-100),Web Application Developer,,Recommender,,,Check Writer,,,,,Software,,,,Don't know,Web Platform,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,Windows XP,I enjoy going to work,"<$20,000",Yes,Yes,,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$100-$250,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,,200,Stack Overflow,
Other Europe,,25-29,<2,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,SQL,C#,,,,,,,Windows XP,I enjoy going to work,Rather not say,No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,Kindle,,,,,,,Xbox,,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Russia,,25-29,41070,Software Products,"Other (not working, consultant, etc.)",Manager of Developers or Team Leader,Influencer,Recommender,Approver,,,,,,,Software,,,,Don't know,SaaS,,,,,,,,,C#,C++,,,,,,Windows 7,Love my job,"$40,000 - $60,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,,200,Stack Overflow,
Other Asia,,25-29,41070,Education,"Other (not working, consultant, etc.)",I don't work in tech,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,,,,,,,C,,HTML5,,,Windows Vista,Love my job,Rather not say,Yes,No thank you,"Tried it, but had a problem",,,Android,,,,,,,,,Other media streaming device,Netbook,,,,Other gaming system,,,Other tablet,Sony Reader,$251-$500,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Careers 2.0,1,Stack Overflow,
Other Europe,,35-39,11,Other,Start Up (1-25),Other,Influencer,Recommender,Approver,Purchaser,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,">$150,000",Web Platform,Java,JavaScript,,,,,,SQL,,C++,C,,HTML5,,clojure,Windows 7,I enjoy going to work,">$140,000",Yes,No thank you,Other (please specify),Don't know what the benefit is to me,iPhone,Android,,Windows Phone,Other Smart Phone,Regular Mobile Phone,Kindle,,AppleTV,,,Netbook,PS3,Xbox,Wii,,,iPad,Other tablet,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,5000,Stack Overflow,
